Citance Number: 1 | Reference Article: J96-3004.xml | Citing Article: A00-2032.xml | Citation Marker Offset: ['142'] | Citation Marker: 1996 | Citation Offset: ['141','142'] | Citation Text: <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃÂÃÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃÂÃÂ­ proach.</S> | Reference Offset: ['91','89','76'] | Reference Text: <S sid="76" ssid="14">The most accurate characterization of Chinese writing is that it is morphosyllabic (DeFrancis 1984): each hanzi represents one morpheme lexically and semantically, and one syllable phonologiÃÂ­ cally.</S> <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel
Citance Number: 30 | Reference Article: J96-3004.xml | Citing Article: P03-1035.xml | Citation Marker Offset: ['155'] | Citation Marker: 1996 | Citation Offset: ['155'] | Citation Text: <S sid ="154" ssid = "59">5.2.4 Transliterations of foreign names As described in Sproat et al.</S><S sid ="155" ssid = "60">(1996): FNs are usually transliterated using Chinese character strings whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Reference Offset: ['281','284','285'] | Reference Text: <S sid="281" ssid="145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S> <S sid="284" ssid="148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabilÃÂ­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S> <S sid="285" ssid="149">As with personal names, we also derive an estimate from text of the probability of finding a transliterated name of any kind (PTN).</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 31 | Reference Article: J96-3004.xml | Citing Article: P06-1010.xml | Citation Marker Offset: ['43'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['42','43'] | Citation Text: <S sid ="42" ssid = "10">Candidate Chinese transliterations are generated by consulting a list of characters that are frequently used for transliterating foreign names.</S><S sid ="43" ssid = "11">As discussed elsewhere (Sproat et al., 1996), a subset of a few hundred characters (out of several thousand) tends to be used overwhelmingly for transliterating foreign names into Chinese.</S> | Reference Offset: ['284','281','399'] | Reference Text: <S sid="281" ssid="145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S> <S sid="284" ssid="148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabilÃÂ­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S> <S sid="399" ssid="2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 32 | Reference Article: J96-3004.xml | Citing Article: P06-1126.xml | Citation Marker Offset: ['7'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['7'] | Citation Text: <S sid ="7" ssid = "7">Chinese word segmentation is the initial stage of many Chinese language processing tasks, and has received a lot of attention in the literature (Sproat et al., 1996; Sun and Tsou, 2001; Zhang et al., 2003; Peng et al., 2004).</S> | Reference Offset: ['24','2','88'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="24" ssid="24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> <S sid="88" ssid="26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 33 | Reference Article: J96-3004.xml | Citing Article: P07-1015.xml | Citation Marker Offset: ['113'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['113'] | Citation Text: <S sid ="113" ssid = "21">Using the 495 characters that are frequently used for transliterating foreign names (Sproat et al., 1996), a sequence of three of more characters from the list was taken as a possible candidate for Chinese.</S> | Reference Offset: ['162','24','103'] | Reference Text: <S sid="24" ssid="24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> <S sid="103" ssid="41">Church and Hanks [1989]), and we have used lists of character pairs ranked by mutual information to expand our own dictionary.</S> <S sid="162" ssid="26">It is. based on the traditional character set rather than the simplified character set used in Singapore and Mainland China.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 34 | Reference Article: J96-3004.xml | Citing Article: P07-1016.xml | Citation Marker Offset: ['70'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "42">As discussed elsewhere (Sproat et al., 1996), out of several thousand common Chinese characters, a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese, e.g. only 731 Chinese characters are adopted in the E-C corpus.</S> | Reference Offset: ['24','162','161'] | Reference Text: <S sid="24" ssid="24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> <S sid="161" ssid="25">7 Big 5 is the most popular Chinese character coding standard in use in Taiwan and Hong Kong.</S> <S sid="162" ssid="26">It is. based on the traditional character set rather than the simplified character set used in Singapore and Mainland China.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 35 | Reference Article: J96-3004.xml | Citing Article: P12-1110.xml | Citation Marker Offset: ['105'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['105'] | Citation Text: <S sid ="105" ssid = "53">3.3.1 Dictionary features Because segmentation using a dictionary alone can serve as a strong baseline in Chinese word segmentation (Sproat et al., 1996), the use of dictionaries is expected to make our joint model more robust and enables us to investigate the contribution of the syntactic dependency in a more realistic setting.</S> | Reference Offset: ['170','187','54'] | Reference Text: <S sid="54" ssid="15">A minimal requirement for building a Chinese word segmenter is obviously a dictionary; furthermore, as has been argued persuasively by Fung and Wu (1994), one will perform much better at segmenting text by using a dictionary constructed with text of the same genre as the text to be segmented.</S> <S sid="170" ssid="34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S> <S sid="187" ssid="51">The method just described segments dictionary words, but as noted in Section 1, there are several classes of words that should be handled that are not found in a standard dictionary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 36 | Reference Article: J96-3004.xml | Citing Article: P12-1111.xml | Citation Marker Offset: ['91'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['91'] | Citation Text: <S sid ="91" ssid = "31">In early work, rule-based models find words one by one based on heuristics such as forward maximum match (Sproat et al., 1996).</S> | Reference Offset: ['108','112','33'] | Reference Text: <S sid="33" ssid="33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S> <S sid="108" ssid="46">The most popular approach to dealing with segÃÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S> <S sid="112" ssid="50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 37 | Reference Article: J96-3004.xml | Citing Article: P97-1041.xml | Citation Marker Offset: ['12'] | Citation Marker: 1996 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">For a discussion of recent Chinese segmentation work, see Sproat et al. {1996).</S> | Reference Offset: ['367','244','365'] | Reference Text: <S sid="244" ssid="108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 38 | Reference Article: J96-3004.xml | Citing Article: P97-1041.xml | Citation Marker Offset: ['39'] | Citation Marker: 1996 | Citation Offset: ['39'] | Citation Text: <S sid ="39" ssid = "5">It is rule-based, but relies on 2 See, for example, Sproat et al.</S><S sid ="40" ssid = "6">(1996)</S> | Reference Offset: ['244','367','365'] | Reference Text: <S sid="244" ssid="108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 39 | Reference Article: J96-3004.xml | Citing Article: P98-1076.xml | Citation Marker Offset: ['145'] | Citation Marker: 1996 | Citation Offset: ['144','145'] | Citation Text: <S sid ="144" ssid = "11">The actual implementation of the weighted finiteÃÂÃÂ­ state transducer by Sproat et al.</S><S sid ="145" ssid = "12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S> | Reference Offset: ['244','398','461'] | Reference Text: <S sid="244" ssid="108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled efÃÂ­ fectively using weighted finite-state transducers.</S> <S sid="461" ssid="7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 40 | Reference Article: J96-3004.xml | Citing Article: P98-1076.xml | Citation Marker Offset: ['150'] | Citation Marker: 1996 | Citation Offset: ['149','150'] | Citation Text: <S sid ="149" ssid = "2">utilizing local and sentential constraints, what Sproat et al.</S><S sid ="150" ssid = "3">( 1996) implemented was simply a token unigram scoring function.</S> | Reference Offset: ['244','421','365'] | Reference Text: <S sid="244" ssid="108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> <S sid="421" ssid="24">For example, as Gan (1994) has noted, one can construct examples where the segmenÃÂ­ tation is locally ambiguous but can be determined on the basis of sentential or even discourse context.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 41 | Reference Article: J96-3004.xml | Citing Article: P99-1036.xml | Citation Marker Offset: ['6'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['5','6'] | Citation Text: <S sid ="5" ssid = "5">In Japanese, around 95% word segmentation acÃÂÃÂ­ curacy is reported by using a word-based lanÃÂÃÂ­ guage model and the Viterbi-like dynamic programÃÂÃÂ­ ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÃÂÃÂ­ sumoto, 1997).</S><S sid ="6" ssid = "6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S> | Reference Offset: ['419','24','337'] | Reference Text: <S sid="24" ssid="24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> <S sid="337" ssid="46">In this way, the method reported on here will necessarily be similar to a greedy method, though of course not identical.</S> <S sid="419" ssid="22">The method reported in this paper makes use solely of unigram probabilities, and is therefore a zeroeth-order model: the cost of a particular segmentation is estimated as the sum of the costs of the individual words in the segmentation.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 42 | Reference Article: J96-3004.xml | Citing Article: P99-1036.xml | Citation Marker Offset: ['8'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "8">There are two approaches to solve this problem: to increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S> | Reference Offset: ['134','415','159'] | Reference Text: <S sid="134" ssid="72">The major problem for all segmentation systems remains the coverage afforded by the dictionary and the lexical rules used to augment the dictionary to deal with unseen words.</S> <S sid="159" ssid="23">Note that hanzi that are not grouped into dictionary words (and are not identified as singleÃÂ­ hanzi words), or into one of the other categories of words discussed in this paper, are left unattached and tagged as unknown words.</S> <S sid="415" ssid="18">The major problem for our segÃÂ­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 43 | Reference Article: J96-3004.xml | Citing Article: P99-1036.xml | Citation Marker Offset: ['10'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">To improve word segmentaÃÂÃÂ­ tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S> | Reference Offset: ['170','159','399'] | Reference Text: <S sid="159" ssid="23">Note that hanzi that are not grouped into dictionary words (and are not identified as singleÃÂ­ hanzi words), or into one of the other categories of words discussed in this paper, are left unattached and tagged as unknown words.</S> <S sid="170" ssid="34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S> <S sid="399" ssid="2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 44 | Reference Article: J96-3004.xml | Citing Article: P99-1036.xml | Citation Marker Offset: ['178'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['178'] | Citation Text: <S sid ="178" ssid = "108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S> | Reference Offset: ['405','128','296'] | Reference Text: <S sid="128" ssid="66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S> <S sid="296" ssid="5">Previous reports on Chinese segmentation have invariably cited performance either in terms of a single percent-correct score, or else a single precision-recall pair.</S> <S sid="405" ssid="8">First of all, most previous articles report perforÃÂ­ mance in terms of a single percent-correct score, or else in terms of the paired measures of precision and recall.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 45 | Reference Article: J96-3004.xml | Citing Article: W00-0803.xml | Citation Marker Offset: ['29'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['29'] | Citation Text: <S sid ="29" ssid = "29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S> | Reference Offset: ['340','24','371'] | Reference Text: <S sid="24" ssid="24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> <S sid="340" ssid="49">This is an issue that we have not addressed at the current stage of our research.</S> <S sid="371" ssid="80">The first issue relates to the completeness of the base lexicon.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 46 | Reference Article: J96-3004.xml | Citing Article: W00-1207.xml | Citation Marker Offset: ['10'] | Citation Marker: Sproat et al 1996 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S> | Reference Offset: ['364','365','245'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="364" ssid="73">Note that it is in precision that our overÃÂ­ all performance would appear to be poorer than the reported performance of Chang et al., yet based on their published examples, our system appears to be doing better precisionwise.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 47 | Reference Article: J96-3004.xml | Citing Article: W01-0513.xml | Citation Marker Offset: ['41'] | Citation Marker: Sproat, et al, 1996 | Citation Offset: ['40','41'] | Citation Text: <S sid ="40" ssid = "11">The principal work on segmentation has focused either on identifying words in phonetic streams (Saffran, et.</S><S sid ="41" ssid = "12">al, 1996; Brent, 1996; de Marcken, 1996) or on tokenizing Asian and Indian languages that do not normally include word delimiters in their orthography (Sproat, et al, 1996; Ponte and Croft 1996; Shimohata, 1997; Teahan, et al., 2000; and many others).</S> | Reference Offset: ['42','66','2'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="42" ssid="3">In various dialects of Mandarin certain phonetic rules apply at the word.</S> <S sid="66" ssid="4">The segmenter handles the grouping of hanzi into words and outputs word pronunciations, with default pronunciations for hanzi it cannot group; we focus here primarily on the system&apos;s ability to segment text appropriately (rather than on its pronunciation abilities).</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 48 | Reference Article: J96-3004.xml | Citing Article: W02-1117.xml | Citation Marker Offset: ['13'] | Citation Marker: Sproat et al. 1996 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">For examples: these words should be obtained: The ambiguous string is .There are some methods to resolve this problem: the one is the method forward maximum matching, backward maximum matching and minimum matching are used to find out the possible word strings from the character string [Guo 1997; Sproat et al. 1996; Gu and Mao 1994; Li et al. 1991; Wang et al. 1991b; Wang et al. 1990].</S> | Reference Offset: ['367','110','108'] | Reference Text: <S sid="108" ssid="46">The most popular approach to dealing with segÃÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S> <S sid="110" ssid="48">Papers that use this method or minor variants thereof include Liang (1986), Li et al.</S> <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 49 | Reference Article: J96-3004.xml | Citing Article: W02-1808.xml | Citation Marker Offset: ['5'] | Citation Marker: 1996 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">Statistical approaches involve language mod els mostly finite-state ones trained on some large-scale corpora as showed in Fan and Tsai (1988) Chang et al (1991) Chiang et al (1992) Sproat et al (1996)</S> | Reference Offset: ['365','245','358'] | Reference Text: <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> <S sid="358" ssid="67">However, we have reason to doubt Chang et al.&apos;s performance claims.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 50 | Reference Article: J96-3004.xml | Citing Article: W03-1025.xml | Citation Marker Offset: ['17'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">There are multiple studies (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) showing that the agreement between two (untrained) native speakers is about upper to lower</S> | Reference Offset: ['331','332','325'] | Reference Text: <S sid="325" ssid="34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that disÃÂ­ tance matrix, and plotting the first two most significant dimensions.</S> <S sid="331" ssid="40">It can also be seen clearly in this plot that two of the Taiwan speakers cluster very closely together, and the third TaiÃÂ­ wan speaker is also close in the most significant dimension (the x axis).</S> <S sid="332" ssid="41">Two of the Mainlanders also cluster close together but, interestingly, not particularly close to the Taiwan speakers; the third Mainlander is much more similar to the Taiwan speakers.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 51 | Reference Article: J96-3004.xml | Citing Article: W03-1025.xml | Citation Marker Offset: ['180'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['180'] | Citation Text: <S sid ="180" ssid = "4">Chinese word segmentation is a well-known problem that has been studied extensively (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) and it is known that human agreement is relatively low.</S> | Reference Offset: ['347','190','137'] | Reference Text: <S sid="137" ssid="1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> <S sid="190" ssid="54">The morphological analÃÂ­ysis itself can be handled using well-known techniques from finite-state morphol 9 The initial estimates are derived from the frequencies in the corpus of the strings of hanzi making up.</S> <S sid="347" ssid="56">It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 52 | Reference Article: J96-3004.xml | Citing Article: W03-1025.xml | Citation Marker Offset: ['187'] | Citation Marker: 1996 | Citation Offset: ['186','187'] | Citation Text: <S sid ="186" ssid = "10">Sproat et al.</S><S sid ="187" ssid = "11">(1996) employs stochastic finite state machines to find word boundaries.</S> | Reference Offset: ['138','367','365'] | Reference Text: <S sid="138" ssid="2">More formally, we start by representing the dictionary D as a Weighted Finite State TransÃÂ­ ducer (WFST) (Pereira, Riley, and Sproat 1994).</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 53 | Reference Article: J96-3004.xml | Citing Article: W03-1728.xml | Citation Marker Offset: ['3'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['3'] | Citation Text: <S sid ="3" ssid = "3">This may sound simple enough but in reality identifying words in Chinese is a nontrivial problem that has drawn a large body of research in the Chinese language processing community (Fan and Tsai, 1988; Gan et al., 1996; Sproat et al., 1996; Wu, 2003; Xue, 2003).</S> | Reference Offset: ['23','19','137'] | Reference Text: <S sid="19" ssid="19">Whether a language even has orthographic words is largely dependent on the writing system used to represent the language (rather than the language itself); the notion &quot;orthographic word&quot; is not universal.</S> <S sid="23" ssid="23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S> <S sid="137" ssid="1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 54 | Reference Article: J96-3004.xml | Citing Article: W04-3236.xml | Citation Marker Offset: ['157'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['157'] | Citation Text: <S sid ="157" ssid = "35">Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Reference Offset: ['65','66','56'] | Reference Text: <S sid="56" ssid="17">Among these are words derived by various productive processes, including: 1.</S> <S sid="65" ssid="3">In this paper we present a stochastic finite-state model for segmenting Chinese text into words, both words found in a (static) lexicon as well as words derived via the above-mentioned productive processes.</S> <S sid="66" ssid="4">The segmenter handles the grouping of hanzi into words and outputs word pronunciations, with default pronunciations for hanzi it cannot group; we focus here primarily on the system&apos;s ability to segment text appropriately (rather than on its pronunciation abilities).</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 55 | Reference Article: J96-3004.xml | Citing Article: W05-0709.xml | Citation Marker Offset: ['83'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['83'] | Citation Text: <S sid ="83" ssid = "9">In addition to the model based upon a dictionary of stems and words, we also experimented with models based upon character n-grams, similar to those used for Chinese segmentation (Sproat et al., 1996).</S> | Reference Offset: ['245','170','107'] | Reference Text: <S sid="107" ssid="45">The second concerns the methods used (if any) to exÃÂ­ tend the lexicon beyond the static list of entries provided by the machine-readable dictionary upon which it is based.</S> <S sid="170" ssid="34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S> <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 56 | Reference Article: J96-3004.xml | Citing Article: W06-1630.xml | Citation Marker Offset: ['118'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['118'] | Citation Text: <S sid ="118" ssid = "13">The words were stemmed all possible ways using simple hand-developed affix lists: for example, given a Hindi word c1 c2 c3 , if both c3 and c2 c3 are in our suffix and ending list, then this single word generates three possible candidates: c1 , c1 c2 , and c1c2 c3 . In contrast, Chinese candidates were extracted using a list of 495 characters that are frequently used for foreign names (Sproat et al., 1996).</S> | Reference Offset: ['55','435','103'] | Reference Text: <S sid="55" ssid="16">For novel texts, no lexicon that consists simply of a list of word entries will ever be entirely satisfactory, since the list will inevitably omit many constructions that should be considered words.</S> <S sid="103" ssid="41">Church and Hanks [1989]), and we have used lists of character pairs ranked by mutual information to expand our own dictionary.</S> <S sid="435" ssid="38">For the examples given in (1) and (2) this certainly seems possible.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 57 | Reference Article: J96-3004.xml | Citing Article: W10-3212.xml | Citation Marker Offset: ['16'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "2">In such languages, words are segmented using more advanced techniques, which can be categorized into three methods: (i) Dictionary/lexicon based approaches (ii) Linguistic knowledge based approaches (iii) Machine learning based approaches/statistical approaches (Haruechaiyasak et al., 2008) Longest matching (Poowarawan, 1986; Richard Sproat, 1996) and maximum matching (Sproat et al., 1996; Haizhou &amp; Baosheng, 1998) are examples of lexicon based approaches.</S> | Reference Offset: ['371','108','89'] | Reference Text: <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="108" ssid="46">The most popular approach to dealing with segÃÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S> <S sid="371" ssid="80">The first issue relates to the completeness of the base lexicon.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


