Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['28','29'] | Citation Text: <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÃÂÃÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['90','154','155'] | Reference Text: <S sid="90" ssid="15">In fact, our evaluation shows that the reÃÂ­ sults are comparable to syntax-based methods (Lappin &amp; Leass I994).</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="155" ssid="2">Evaluation shows a success rate of 89.7% for the genre of techÃÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet: Results_Citation | Annotator: Aakansha Gehlot
Citance Number: 52 | Reference Article: P98-2143.xml | Citing Article: W04-2310.xml | Citation Marker Offset: ['102'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['102'] | Citation Text: <S sid ="102" ssid = "7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset: ['104','121','62'] | Reference Text: <S sid="62" ssid="48">As already mentioned, each of the antecedent inÃÂ­ dicators assigns a score with a value {-1, 0, 1, 2}.</S> <S sid="104" ssid="29">From this example we can also see that our knowledge-poor approach successfully tackles cases in which the anaphor and theÃáṗ antecedent have not only different syntactic functions but also different semantic roles.</S> <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same senÃÂ­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 53 | Reference Article: P98-2143.xml | Citing Article: W04-2310.xml | Citation Marker Offset: 2186-2198 | Citation Marker: Mitkov, 1998 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">Often domain-specific heuristics are used for anaphora resolution and fine tuned to perform well on a limited corpus, such as in (Mitkov, 1998).</S> | Reference Offset: ['1','11','142'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="142" ssid="3">We used the robust approach as a basis for develÃÂ­ oping a genre-specific reference resolution approach in Polish.</S> | Discourse Facet: Implication_Citation | Annotator: Kokil Jaidka


Citance Number: 54 | Reference Article: P98-2143.xml | Citing Article: W06-2302.xml | Citation Marker Offset: ['48'] | Citation Marker: 1998 | Citation Offset: ['48'] | Citation Text: <S sid ="48" ssid = "32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic ÃáẁÃḃÂáṠĠÃÂitÃáẁÃḃÂáṠĠÃÂ occurrences, and assigns animacy.</S> | Reference Offset: ['1','85','70'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 55 | Reference Article: P98-2143.xml | Citing Article: W09-2411.xml | Citation Marker Offset: ['6'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset: ['138','1','88'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="88" ssid="13">Lack of semantic knowledge rules out the use of verb seÃÂ­ mantics and semantic parallelism.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 56 | Reference Article: P98-2143.xml | Citing Article: W99-0104.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset: ['5','24','75'] | Reference Text: <S sid="5" ssid="5">Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> <S sid="24" ssid="10">Candidates are assigned a score (-1, 0, 1 or 2) for each indicator; the candidate with the highest aggregate score is proposed as the anteÃÂ­ cedent.</S> <S sid="75" ssid="61">those which agree in gender and numberS with the pronominal anaphor and group them as a set of potential candidates</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 57 | Reference Article: P98-2143.xml | Citing Article: W99-0104.xml | Citation Marker Offset: ['60'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['60'] | Citation Text: <S sid ="60" ssid = "23">The CogNIAC algorithm {Baldwin, 1997) uses six heuristic rules to resalv.e coreference, whereas the algorithm presented in (Mitkov, 1998) is based on a limited set of preferences (e.g. definitiveness, l cal reiteration or immediate reference).</S> | Reference Offset: ['138','70','133'] | Reference Text: <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="133" ssid="58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s CogÃÂ­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 58 | Reference Article: P98-2143.xml | Citing Article: W99-0207.xml | Citation Marker Offset: ['128'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['128'] | Citation Text: <S sid ="128" ssid = "4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S><S sid ="129" ssid = "5">Resolving proÃÂ­ nouns in English technical manuals to the most reÃÂ­ cent candidate achieved a success rate of 62.5%, whereas in our experiments only 43.9% of the most recent candidates are resolved correctly as the anÃÂ­ tecedent (cf.</S> | Reference Offset: ['99','124','118'] | Reference Text: <S sid="99" ssid="24">The success rate of the &quot;Baseline Subject&quot; was 29.2%, whereas the success rate of &quot;Baseline Most Recent NP&quot; was 62.5%.</S> <S sid="118" ssid="43">In the second experiment we evaluated the apÃÂ­ proach from the point of view also of its &quot;critical success rate&quot;.</S> <S sid="124" ssid="49">The results from experiment 1 and experiment 2 can be summarised in the following (statistically) slightly more representative figures.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Kokil Jaidka


Citance Number: 59 | Reference Article: P98-2143.xml | Citing Article: W99-0207.xml | Citation Marker Offset: ['131'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['131'] | Citation Text: <S sid ="131" ssid = "7">Whereas knowledge-based systems like (Carbonell and Brown, 1988) and (Rich and LuperFoy, 1988) combining multiple resolution strategies are expenÃÂÃÂ­ sive in the cost of human effort at development time and limited ability to scale to new domains, more reÃÂÃÂ­ cent knowledge-poor approaches like (Kennedy and Boguraev, 1996) and (Mitkov, 1998) address the problem without sophisticated linguistic knowledge.</S> | Reference Offset: ['11','13','1'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="13" ssid="13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> | Discourse Facet: Implication_Citation | Annotator: Kokil Jaidka


