Citance Number: 2 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['15'] | Citation Marker:  2005 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">However, detailed research (Zhou et al., 2005) shows that itâ€™s difficult to extract new effective features to further improve the extraction accuracy.</S> | Reference Offset:  ['193'] | Reference Text:  <S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |
Citance Number: 50 | Reference Article:  P05-1053.xml | Citing Article:  P09-1114.xml | Citation Marker Offset:  ['25'] | Citation Marker:  2005 | Citation Offset:  ['23','24','25'] | Citation Text:  <S sid ="23" ssid = "1">Recent work on relation extraction has been dominated by feature-based and kernel-based supervised learning methods.</S><S sid ="24" ssid = "2">Zhou et al.</S><S sid ="25" ssid = "3">(2005) and Zhao and Grishman (2005) studied various features and feature combinations for relation extraction.</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S> | Discourse Facet: Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 51 | Reference Article:  P05-1053.xml | Citing Article:  P09-1114.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Recent work on relation extraction has shown that supervised machine learning coupled with intelligent feature engineering or kernel design provides state-of-the-art solutions to the problem (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008).</S> | Reference Offset:  ['17','20'] | Reference Text:  <S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S><S sid ="20" ssid = "20">Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.</S> | Discourse Facet:  ['Method_Citation','Results_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 52 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Then the feature based method explicitly extracts a variety of lexical, syntactic and semantic features for statistical learning, either generative or discriminative (Miller et al., 2000; Kambhatla, 2004; Boschee et al., 2005; Grishman et al., 2005; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset:  ['40'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 53 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['81'] | Citation Marker:  2005 | Citation Offset:  ['80','81'] | Citation Text:  <S sid ="80" ssid = "44">We first adopted the full feature set from Zhou et al.</S><S sid ="81" ssid = "45">(2005), a state-of-the-art feature based relation extraction system.</S> | Reference Offset:  ['40','52'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S><S sid ="52" ssid = "8">The reason why we choose SVMs for this purpose is that SVMs represent the state-of–the-art in the machine learning research community, and there are good implementations of the algorithm available.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 54 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['193'] | Citation Marker:  2005 | Citation Offset:  ['193','194'] | Citation Text:  <S sid ="193" ssid = "157">Zhou et al.</S><S sid ="194" ssid = "158">(2005) tested their system on the ACE 2003 data;.</S> | Reference Offset:  ['108'] | Reference Text:  <S sid ="108" ssid = "1">This paper uses the ACE corpus provided by LDC to train and evaluate our feature-based relation extraction system.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 55 | Reference Article:  P05-1053.xml | Citing Article:  P11-1056.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">However, most approaches to RE have assumed that the relationsâ€™ arguments are given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Jiang, 2009; Zhou et al., 2005), and therefore offer only a partial solution to the problem.</S> | Reference Offset:  ['59'] | Reference Text:  <S sid ="59" ssid = "2">In addition, we distinguish the argument order of the two mentions (M1 for the first mention and M2 for the second mention), e.g. M1-Parent- Of-M2 vs. M2-Parent-Of-M1.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 56 | Reference Article:  P05-1053.xml | Citing Article:  P11-1056.xml | Citation Marker Offset:  ['58'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['58'] | Citation Text:  <S sid ="58" ssid = "19">Most prior RE evaluation on ACE data assumed that mentions are already pre-annotated and given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Zhou et al., 2005).</S> | Reference Offset:  ['128'] | Reference Text:  <S sid ="128" ssid = "10">In this paper, we only measure the performance of relation extraction on “true” mentions with “true” chaining of coreference (i.e. as annotated by the corpus annotators) in the ACE corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 57 | Reference Article:  P05-1053.xml | Citing Article:  P11-3012.xml | Citation Marker Offset:  ['34'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['34'] | Citation Text:  <S sid ="34" ssid = "7">We used Zhou et al.â€™s lexical features (Zhou et al., 2005) as the basis for the features of our system similar to what other researchers have done (Chan and Roth, 2010).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 58 | Reference Article:  P05-1053.xml | Citing Article:  P11-3012.xml | Citation Marker Offset:  ['47'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "4">Although a bit lower than Zhou et al.â€™s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.</S> | Reference Offset:  ['130'] | Reference Text:  <S sid ="130" ssid = "12">It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 59 | Reference Article:  P05-1053.xml | Citing Article:  P13-1147.xml | Citation Marker Offset:  ['167'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['167'] | Citation Text:  <S sid ="167" ssid = "10">This is slightly behind that of Zhang (2006); the reason might be threefold: i) different data partitioning; ii) different pre-processing; iii) they incorporate features from additional sources, i.e. a phrase chunker, dependency parser and semantic resources (Zhou et al., 2005) (we have on average 9 features/instance, they use 40).</S> | Reference Offset:  ['17','126'] | Reference Text:  <S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S><S sid ="126" ssid = "8">In this way, we model relation extraction as a multi-class classification problem with 43 classes, two for each relation subtype (except the above 6 symmetric subtypes) and a “NONE” class for the case where the two mentions are not related.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 60 | Reference Article:  P05-1053.xml | Citing Article:  W06-1634.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">Techniques based on machine learning (Zhou et al., 2005; Hao et al., 2005; Bunescu and Mooney, 2006) are expected to alleviate this problem in manually crafted IE.</S> | Reference Offset:  ['53'] | Reference Text:  <S sid ="53" ssid = "9">In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 61 | Reference Article:  P05-1053.xml | Citing Article:  W06-1634.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "2">A technique that many previous approaches have used is shallow parsing (Koike et al., 2003; Yao et al., 2004; Zhou et al., 2005).</S> | Reference Offset:  ['4'] | Reference Text:  <S sid ="4" ssid = "4">This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka |


Citance Number: 63 | Reference Article:  P05-1053.xml | Citing Article:  W06-1667.xml | Citation Marker Offset:  ['174'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['174'] | Citation Text:  <S sid ="174" ssid = "110">Especially, although we did not concern the dependency tree and full parse tree information as other supervised methods (Miller et al., 2000; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), the incorporation of simple features, such as words and chunking information, still can provide complement information for capturing the characteristics of entity pairs.</S> | Reference Offset:  ['193'] | Reference Text:  <S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 64 | Reference Article:  P05-1053.xml | Citing Article:  W08-0602.xml | Citation Marker Offset:  ['39'] | Citation Marker:  2005 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "39">This follows on from the success of these methods in general NLP (see for example Zhou et al (2005)).</S> | Reference Offset:  ['30'] | Reference Text:  <S sid ="30" ssid = "1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 65 | Reference Article:  P05-1053.xml | Citing Article:  W08-0602.xml | Citation Marker Offset:  ['136'] | Citation Marker:  2005 | Citation Offset:  ['136'] | Citation Text:  <S sid ="136" ssid = "51">We use features developed in part from those described in Zhou et al (2005) and Wang et al (2006).</S> | Reference Offset:  ['40'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 66 | Reference Article:  P05-1053.xml | Citing Article:  W11-1101.xml | Citation Marker Offset:  ['203'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['203'] | Citation Text:  <S sid ="203" ssid = "11">A variety of features have been explored for ERD in previous research (Zhou et al., 2005; Zhou et al., 2008; Jiang and Zhai, 2007; Miller et al., 2000).</S> | Reference Offset:  ['40'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 68 | Reference Article:  P05-1053.xml | Citing Article:  W11-1815.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">BB task example Ureaplasma parvum is a mycoplasma and a pathogenic biology challenges (Kim et al., 2010) and geographical locations (Zhou et al., 2005).</S> | Reference Offset:  ['12'] | Reference Text:  <S sid ="12" ssid = "12">Entities can be of five types: persons, organizations, locations, facilities and geopolitical entities (GPE: geographically defined regions that indicate a political boundary, e.g. countries, states, cities, etc.).</S> | Discourse Facet:  Hypothesis_Citation | Annotator:  Kokil Jaidka |


